stop_id,stop_name,stop_lat,stop_lon,location_type,parent_station,wheelchair_boarding,platform_code
"21051","HolmePort Marina, McCarrs Creek Rd","-33.645897","151.281477","","","1",""
"200021","Wynyard Station, Carrington St, Stand A","-33.865297","151.206375","","","1",""
"200023","Wynyard Station, Carrington St, Stand B","-33.865836","151.206298","","","1",""
"200024","Wynyard Station, Carrington St, Stand C","-33.866137","151.206275","","","1",""
"200025","Wynyard Station, Carrington St, Stand D","-33.866449","151.206238","","","1",""
"200029","Wynyard Station, York St, Stand H","-33.866871","151.20589","","","1",""
"200033","Wynyard Station, York St, Stand K","-33.866192","151.205807","","","1",""
"200035","Wynyard Station, York St, Stand M","-33.865522","151.205722","","","1",""
"200042","QVB, York St, Stand B","-33.872272","151.2065","","","1",""
"200044","QVB, York St, Stand D","-33.871298","151.206427","","","1",""
"200096","Bridge St at Gresham St","-33.863625","151.209726","","","1",""
"205782","Pacific Hwy after Mowbray Rd","-33.804944","151.179174","","","1",""
"205783","Pacific Hwy at Sutherland Rd","-33.802327","151.179411","","","1",""
"206011","North Sydney Station, Blue St, Stand A","-33.840906","151.206689","","","1",""
"206013","Victoria Cross, Miller St","-33.839452","151.206652","","","1",""
"206014","North Sydney Station, Blue St, Stand D","-33.841044","151.207632","","","1",""
"206017","Miller St opp Carlow St","-33.830733","151.208682","","","1",""
"206018","North Sydney Oval, Miller St","-33.832675","151.208251","","","1",""
"206019","Miller St after McLaren St","-33.835256","151.207677","","","1",""
"206024","Miller St before Blue St","-33.840135","151.206704","","","1",""
"206025","Pacific Hwy at West St","-33.833421","151.204791","","","1",""
"206031","Blues Point Rd before Lavender St","-33.842067","151.205647","","","1",""
"206046","Miller St before Berry St","-33.8372","151.207111","","","1",""
"206047","Miller St at McLaren St","-33.83504","151.207526","","","1",""
"206048","Miller St at Ridge St","-33.833132","151.207931","","","1",""
"206049","Miller St at Carlow St","-33.831073","151.208348","","","1",""
"206052","Victoria Cross, Miller St","-33.838502","151.207087","","","1",""
"206057","Lavender St before Walker St","-33.842854","151.207047","","","1",""
