route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_color,route_text_color
"2508_100","2508","100","Taronga Zoo to City QVB","Sydney Buses Network","700","00B5EF","FFFFFF"
"2508_111","2508","111","Chowder Bay to South Mosman Wharf","Sydney Buses Network","700","00B5EF","FFFFFF"
"2508_114","2508","114","Balmoral to Royal North Shore Hospital","Sydney Buses Network","700","00B5EF","FFFFFF"
"2508_137","2508","137","Chatswood to Bantry Bay","Sydney Buses Network","700","00B5EF","FFFFFF"
"2508_142","2508","142","Allambie Heights to Manly","Sydney Buses Network","700","00B5EF","FFFFFF"
"2508_144","2508","144","Manly to Chatswood via St Leonards","Sydney Buses Network","700","00B5EF","FFFFFF"
"2508_144N","2508","144N","Manly to North Sydney (Night Service)","Sydney Buses Network","700","00B5EF","FFFFFF"
"2508_145","2508","145","Warringah Mall to Seaforth","Sydney Buses Network","700","00B5EF","FFFFFF"
"2508_150X","2508","150X","Manly to Milsons Point (Express Service)","Sydney Buses Network","700","00B5EF","FFFFFF"
"2508_154X","2508","154X","Dee Why to Milsons Point (Express Service)","Sydney Buses Network","700","00B5EF","FFFFFF"
"2508_155","2508","155","Bayview Garden Village to Narrabeen and Frenchs Forest","Sydney Buses Network","700","00B5EF","FFFFFF"
"2508_156","2508","156","McCarrs Creek to Mona Vale","Sydney Buses Network","700","00B5EF","FFFFFF"
"2508_160X","2508","160X","Dee Why to Chatswood via Frenchs Forest (Express Service)","Sydney Buses Network","700","00B5EF","FFFFFF"
"2508_161","2508","161","Manly to North Head (Loop Service)","Sydney Buses Network","700","00B5EF","FFFFFF"
"2508_162","2508","162","Seaforth to Manly","Sydney Buses Network","700","00B5EF","FFFFFF"
"2508_165X","2508","165X","South Curl Curl to City Wynyard (Express Service)","Sydney Buses Network","700","00B5EF","FFFFFF"
"2508_166","2508","166","Frenchs Forest to Manly via Dee Why Beach","Sydney Buses Network","700","00B5EF","FFFFFF"
"2508_167","2508","167","Warringah Mall to Manly via South Curl Curl","Sydney Buses Network","700","00B5EF","FFFFFF"
"2508_168X","2508","168X","Balgowlah to City Wynyard via North Balgowlah (Express Service)","Sydney Buses Network","700","00B5EF","FFFFFF"
"2508_170X","2508","170X","Manly to City Wynyard (Express Service)","Sydney Buses Network","700","00B5EF","FFFFFF"
"2508_171X","2508","171X","Balgowlah to City Wynyard via Clontarf (Express Service)","Sydney Buses Network","700","00B5EF","FFFFFF"
"2508_172X","2508","172X","Warringah Mall to City Wynyard via North Balgowlah (Express Service)","Sydney Buses Network","700","00B5EF","FFFFFF"
"2508_173X","2508","173X","Warringah Mall to City Wynyard via Balgowlah Shops (Express Service)","Sydney Buses Network","700","00B5EF","FFFFFF"
"2508_174X","2508","174X","Narraweena to City Wynyard (Express Service)","Sydney Buses Network","700","00B5EF","FFFFFF"
"2508_176X","2508","176X","Dee Why to City Wynyard via North Curl Curl (Express Service)","Sydney Buses Network","700","00B5EF","FFFFFF"
"2508_177","2508","177","Dee Why to Warringah Mall","Sydney Buses Network","700","00B5EF","FFFFFF"
"2508_177X","2508","177X","Dee Why to City Wynyard via Wingala (Express Service)","Sydney Buses Network","700","00B5EF","FFFFFF"
"2508_178","2508","178","Cromer Heights to Warringah Mall","Sydney Buses Network","700","00B5EF","FFFFFF"
"2508_179","2508","179","Wheeler Heights to Warringah Mall","Sydney Buses Network","700","00B5EF","FFFFFF"
"2508_180","2508","180","Collaroy Plateau to Warringah Mall","Sydney Buses Network","700","00B5EF","FFFFFF"
"2508_180X","2508","180X","Collaroy Plateau to City Wynyard (Express Service)","Sydney Buses Network","700","00B5EF","FFFFFF"
"2508_181X","2508","181X","Narrabeen to City Wynyard (Express Service)","Sydney Buses Network","700","00B5EF","FFFFFF"
"2508_182","2508","182","Mona Vale to Narrabeen","Sydney Buses Network","700","00B5EF","FFFFFF"
"2508_185","2508","185","Mona Vale to Narrabeen via Warriewood Valley","Sydney Buses Network","700","00B5EF","FFFFFF"
"2508_190X","2508","190X","Avalon Beach to City Wynyard (Express Service)","Sydney Buses Network","700","00B5EF","FFFFFF"
"2508_191","2508","191","Avalon Beach to Taylors Point (Loop Service)","Sydney Buses Network","700","00B5EF","FFFFFF"
"2508_192","2508","192","Avalon Beach to Stokes Point (Loop Service)","Sydney Buses Network","700","00B5EF","FFFFFF"
"2508_199","2508","199","Palm Beach to Manly via Mona Vale & Dee Why","Sydney Buses Network","700","00B5EF","FFFFFF"
"2508_201","2508","201","Cremorne to City Bridge St","Sydney Buses Network","700","00B5EF","FFFFFF"
"2508_225","2508","225","Cremorne Point Wharf to Neutral Bay Wharf","Sydney Buses Network","700","00B5EF","FFFFFF"
"2508_228","2508","228","Clifton Gardens to Milsons Point","Sydney Buses Network","700","00B5EF","FFFFFF"
"2508_229","2508","229","Beauty Point to Milsons Point via Balmoral Heights","Sydney Buses Network","700","00B5EF","FFFFFF"
"2508_230","2508","230","Mosman Wharf to Milsons Point via North Sydney","Sydney Buses Network","700","00B5EF","FFFFFF"
"2508_238","2508","238","Taronga Zoo Wharf to Balmoral","Sydney Buses Network","700","00B5EF","FFFFFF"
