service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
"1","1","1","1","1","1","1","0","20230501","20230809"
"2","1","1","1","1","1","0","1","20230501","20230809"
"3","1","1","1","1","1","1","1","20230502","20230810"
"4","1","1","1","1","1","0","0","20230501","20230809"
"5","1","1","1","1","1","0","0","20230501","20230809"
"6","0","0","0","0","0","1","1","20230506","20230806"
"7","0","0","0","0","1","0","0","20230505","20230804"
"8","0","0","0","0","0","1","1","20230506","20230806"
"9","0","0","0","1","1","0","0","20230706","20230714"
"10","0","1","0","0","0","0","0","20230502","20230808"
"11","0","0","0","0","1","1","0","20230505","20230805"
"12","1","1","1","1","1","1","1","20230501","20230809"
"13","0","0","0","1","1","1","0","20230504","20230805"
"14","0","1","1","0","0","0","0","20230502","20230809"
"15","0","0","0","0","0","1","0","20230506","20230805"
"16","0","0","0","0","0","1","1","20230506","20230806"
"17","0","0","0","0","1","0","0","20230505","20230804"
"18","1","1","1","1","0","0","0","20230501","20230809"
"19","0","0","0","1","1","0","0","20230504","20230804"
"20","0","0","0","0","0","0","1","20230507","20230806"
"21","0","0","0","0","0","0","1","20230507","20230806"
"22","0","0","0","0","0","1","0","20230506","20230805"
"23","1","1","0","1","1","0","0","20230501","20230808"
"24","1","1","1","1","0","0","0","20230501","20230809"
"25","1","1","1","1","1","0","0","20230703","20230714"
