service_id,date,exception_type
"1","20230612","2"
"4","20230703","2"
"4","20230612","2"
"4","20230705","2"
"4","20230706","2"
"4","20230704","2"
"4","20230707","2"
"4","20230714","2"
"4","20230710","2"
"4","20230711","2"
"4","20230712","2"
"4","20230713","2"
"5","20230612","2"
"6","20230612","1"
"7","20230706","1"
"7","20230705","1"
"7","20230704","1"
"7","20230703","1"
"7","20230710","1"
"7","20230713","1"
"7","20230712","1"
"7","20230711","1"
"10","20230711","2"
"10","20230704","2"
"14","20230704","2"
"14","20230712","2"
"14","20230711","2"
"14","20230705","2"
"15","20230713","1"
"15","20230712","1"
"15","20230711","1"
"15","20230710","1"
"15","20230707","1"
"15","20230706","1"
"15","20230705","1"
"15","20230714","1"
"15","20230703","1"
"15","20230704","1"
"16","20230612","1"
"16","20230703","1"
"16","20230704","1"
"16","20230705","1"
"16","20230706","1"
"16","20230707","1"
"16","20230710","1"
"16","20230711","1"
"16","20230712","1"
"16","20230713","1"
"16","20230714","1"
"17","20230707","2"
"17","20230714","2"
"18","20230612","2"
"18","20230707","1"
"18","20230714","1"
"19","20230707","2"
"19","20230713","2"
"19","20230714","2"
"19","20230706","2"
"20","20230713","1"
"20","20230712","1"
"20","20230711","1"
"20","20230710","1"
"20","20230707","1"
"20","20230706","1"
"20","20230705","1"
"20","20230704","1"
"20","20230703","1"
"20","20230612","1"
"20","20230714","1"
"21","20230612","1"
"23","20230612","2"
"23","20230714","2"
"23","20230713","2"
"23","20230711","2"
"23","20230710","2"
"23","20230707","2"
"23","20230706","2"
"23","20230704","2"
"23","20230703","2"
"24","20230712","2"
"24","20230711","2"
"24","20230710","2"
"24","20230706","2"
"24","20230713","2"
"24","20230704","2"
"24","20230703","2"
"24","20230612","2"
"24","20230705","2"
