route_id,service_id,trip_id,shape_id,trip_headsign,direction_id,block_id,wheelchair_accessible,trip_note,route_direction
"2508_225","22","1466004","9311","Neutral Bay Wharf","1","","1","","Cremorne Point Wharf to Neutral Bay Wharf"
"2508_225","22","1466005","9311","Neutral Bay Wharf","1","","1","","Cremorne Point Wharf to Neutral Bay Wharf"
"2508_225","22","1466006","9311","Neutral Bay Wharf","1","","1","","Cremorne Point Wharf to Neutral Bay Wharf"
"2508_225","22","1466007","9311","Neutral Bay Wharf","1","","1","","Cremorne Point Wharf to Neutral Bay Wharf"
"2508_225","21","1466008","9311","Neutral Bay Wharf","1","","1","","Cremorne Point Wharf to Neutral Bay Wharf"
"2508_225","21","1466009","9311","Neutral Bay Wharf","1","","1","","Cremorne Point Wharf to Neutral Bay Wharf"
"2508_225","21","1466010","9311","Neutral Bay Wharf","1","","1","","Cremorne Point Wharf to Neutral Bay Wharf"
"2508_225","21","1466011","9311","Neutral Bay Wharf","1","","1","","Cremorne Point Wharf to Neutral Bay Wharf"
"2508_225","21","1466012","9311","Neutral Bay Wharf","1","","1","","Cremorne Point Wharf to Neutral Bay Wharf"
"2508_225","21","1466013","9311","Neutral Bay Wharf","1","","1","","Cremorne Point Wharf to Neutral Bay Wharf"
"2508_225","21","1466014","9311","Neutral Bay Wharf","1","","1","","Cremorne Point Wharf to Neutral Bay Wharf"
"2508_225","21","1466015","9311","Neutral Bay Wharf","1","","1","","Cremorne Point Wharf to Neutral Bay Wharf"
"2508_225","21","1466016","9311","Neutral Bay Wharf","1","","1","","Cremorne Point Wharf to Neutral Bay Wharf"
"2508_225","21","1466017","9311","Neutral Bay Wharf","1","","1","","Cremorne Point Wharf to Neutral Bay Wharf"
"2508_225","21","1466018","9311","Neutral Bay Wharf","1","","1","","Cremorne Point Wharf to Neutral Bay Wharf"
"2508_225","21","1466019","9311","Neutral Bay Wharf","1","","1","","Cremorne Point Wharf to Neutral Bay Wharf"
"2508_225","21","1466020","9311","Neutral Bay Wharf","1","","1","","Cremorne Point Wharf to Neutral Bay Wharf"
"2508_225","21","1466021","9311","Neutral Bay Wharf","1","","1","","Cremorne Point Wharf to Neutral Bay Wharf"
"2508_225","21","1466022","9311","Neutral Bay Wharf","1","","1","","Cremorne Point Wharf to Neutral Bay Wharf"
"2508_225","21","1466023","9311","Neutral Bay Wharf","1","","1","","Cremorne Point Wharf to Neutral Bay Wharf"
"2508_225","21","1466024","9311","Neutral Bay Wharf","1","","1","","Cremorne Point Wharf to Neutral Bay Wharf"
"2508_225","5","1466025","9540","Neutral Bay Wharf","1","","1","","Cremorne Point Wharf to Neutral Bay Wharf"
"2508_225","5","1466026","9540","Neutral Bay Wharf","1","","1","","Cremorne Point Wharf to Neutral Bay Wharf"
"2508_225","5","1466027","9540","Neutral Bay Wharf","1","","1","","Cremorne Point Wharf to Neutral Bay Wharf"
"2508_225","5","1466028","9540","Neutral Bay Wharf","1","","1","","Cremorne Point Wharf to Neutral Bay Wharf"
"2508_225","5","1466029","9540","Neutral Bay Wharf","1","","1","","Cremorne Point Wharf to Neutral Bay Wharf"
"2508_225","5","1466030","9540","Neutral Bay Wharf","1","","1","","Cremorne Point Wharf to Neutral Bay Wharf"
"2508_225","5","1466031","9540","Neutral Bay Wharf","1","","1","","Cremorne Point Wharf to Neutral Bay Wharf"
"2508_225","5","1466032","9540","Neutral Bay Wharf","1","","1","","Cremorne Point Wharf to Neutral Bay Wharf"
"2508_225","5","1466033","9540","Neutral Bay Wharf","1","","1","","Cremorne Point Wharf to Neutral Bay Wharf"
"2508_225","5","1466034","9540","Neutral Bay Wharf","1","","1","","Cremorne Point Wharf to Neutral Bay Wharf"
"2508_225","5","1466035","9540","Neutral Bay Wharf","1","","1","","Cremorne Point Wharf to Neutral Bay Wharf"
"2508_225","21","1466036","9311","Neutral Bay Wharf","1","","1","","Cremorne Point Wharf to Neutral Bay Wharf"
"2508_225","21","1466037","9311","Neutral Bay Wharf","1","","1","","Cremorne Point Wharf to Neutral Bay Wharf"
"2508_225","22","1466038","9311","Neutral Bay Wharf","1","","1","","Cremorne Point Wharf to Neutral Bay Wharf"
"2508_225","22","1466039","9311","Neutral Bay Wharf","1","","1","","Cremorne Point Wharf to Neutral Bay Wharf"
"2508_225","22","1466040","9311","Neutral Bay Wharf","1","","1","","Cremorne Point Wharf to Neutral Bay Wharf"
"2508_225","22","1466041","9311","Neutral Bay Wharf","1","","1","","Cremorne Point Wharf to Neutral Bay Wharf"
"2508_225","22","1466042","9311","Neutral Bay Wharf","1","","1","","Cremorne Point Wharf to Neutral Bay Wharf"
"2508_225","22","1466043","9311","Neutral Bay Wharf","1","","1","","Cremorne Point Wharf to Neutral Bay Wharf"
